x,y,Date,index,cluster,Tenure,tenure,Topics
0.43722647,9.368507,2004,MSS15,C0,1,MS_Year_1,The author is exploring the central theme of the government's commitment to secularism and its belief in fostering an inclusive society.
1.1995839,7.4863772,2004,MSS16,C2,1,MS_Year_1,The author is exploring the central theme of communal harmony and the subject of how youth can help to shape the destiny of the nation.
1.3931057,10.259617,2004,MSS17,C1,1,MS_Year_1,The central theme of the author is exploring is the need for the government to reorient the course of the economic system in order to achieve sustained high growth rates and reduce regional imbalance.
2.744426,8.90418,2004,MSS18,C1,1,MS_Year_1,"The author is exploring the need for India to become a scientifically advanced nation, and the role that science and technology can play in achieving this goal."
-1.002644,9.081932,2004,MSS19,C0,1,MS_Year_1,The central theme of the author is exploring is the efficiency and effectiveness of the judicial system in India.
0.6980721,10.062372,2004,MSS20,C0,1,MS_Year_1,The central theme of the text is the role of the business community in the development of India. The author is exploring the idea that the business community is a vital part of the process of wealth creation in India and that they should be actively involved in the process.
3.4189494,9.446122,2004,MSS21,C1,1,MS_Year_1,"The central theme of the author is the importance of democracy in achieving peace and prosperity, and the need for reform in the United Nations to make it a truly representative body."
3.2942905,7.927372,2004,MSS22,C3,1,MS_Year_1,The central theme that the author is exploring is the contribution of the Indian-American community to the United States of America.
4.158881,7.699033,2004,MSS23,C3,1,MS_Year_1,The central theme of the text is the potential for a strong partnership between India and the United States based on shared values of democracy and pluralism.
0.9849966,6.916332,2004,MSS24,C2,1,MS_Year_1,The central theme that the author is exploring is the bilateral dialogue and cooperation between India and Pakistan.
3.2135274,8.297335,2004,MSS25,C3,1,MS_Year_1,"The central theme of the author is exploring is the idea of democracy and pluralism, and how it binds the nation together and shapes the American perception of India."
3.9957669,9.462797,2004,MSS26,C1,1,MS_Year_1,"The author is exploring the idea of India as a potential permanent member of the UN Security Council, and the potential for closer economic cooperation between India and the UK."
-0.16111895,9.322925,2004,MSS27,C0,1,MS_Year_1,The central theme of the author is exploring is the issue of corruption in public life and the need for measures to address it.
0.8836451,8.032351,2004,MSS28,C0,1,MS_Year_1,The central theme and subject that the author is exploring is the life and legacy of Lal Bahadur Shastri.
2.366868,9.292294,2004,MSS29,C1,1,MS_Year_1,The central theme of the author is exploring is the importance of postal service in India.
1.1880039,9.8339405,2004,MSS30,C0,1,MS_Year_1,The author is exploring the need for skilled workers in India and the importance of vocational training in achieving this goal.
0.27664614,9.309421,2004,MSS31,C0,1,MS_Year_1,The central theme and subject that the author is exploring is the role of the media in promoting gender equality in India.
4.838605,8.895303,2004,MSS32,C3,1,MS_Year_1,The author is exploring the central theme and subject of the India-ASEAN Business Summit and the potential benefits of regional cooperation and integration.
3.226558,6.235201,2004,MSS33,C2,1,MS_Year_1,"The author is exploring the central theme of the importance of nuclear energy in India, and the subject of the department of atomic energy's 50th anniversary."
2.955971,7.20265,2004,MSS34,C2,1,MS_Year_1,The author is exploring the need for a new decision-making format for pursuit of a sustainable model of national security in a highly complex strategic environment.
1.2377023,8.148917,2004,MSS35,C2,1,MS_Year_1,"The author is exploring the life and work of Kamaraj, a political leader who is hailed as a legend even today, 15 years after his death."
1.50922,7.831783,2004,MSS36,C2,1,MS_Year_1,The author is exploring the central theme of national integration and the subject of the role of cinema in emotional integration in the country.
1.6816082,7.8318367,2004,MSS37,C2,1,MS_Year_1,The author is exploring the role of the Sahitya Akademi in promoting Indian literature and culture.
-0.4448393,7.5977783,2004,MSS38,C0,1,MS_Year_1,The central theme that the author is exploring is the need for a better equipped and trained police force to deal with the increasing number of security challenges that the country faces.
1.7767814,9.863244,2004,MSS39,C1,1,MS_Year_1,The central theme that the author is exploring is the potential for rural business hubs to promote rural prosperity and diminish poverty in India.
3.4261346,8.019545,2004,MSS40,C3,1,MS_Year_1,"The central theme of the author's exploration is the idea of India as a nation built on the principle of pluralism and inclusiveness, and the potential for India to contribute to the global dialogue on the challenges of globalization and terrorism."
0.36274904,9.257395,2004,MSS41,C0,1,MS_Year_1,"The central theme of the text is the fight against HIV/AIDS, and the author is exploring the role that young people can play in this fight."
2.0741918,10.201814,2004,MSS42,C1,1,MS_Year_1,The central theme of the author is that the cooperative movement in India has great potential for growth and development in the next 100 years.
0.5049535,6.9417143,2004,MSS43,C2,1,MS_Year_1,"The author is exploring the central theme of peace and prosperity in Jammu and Kashmir, and the need for investment in education and health care in the state."
2.0144255,9.346341,2004,MSS44,C1,1,MS_Year_1,The central theme that the author is exploring is the idea of India as a nation that is constantly evolving and changing. The subject that the author is discussing is the challenge that India faces in the next decade in terms of its economic and social development.
1.0186709,6.931959,2004,MSS45,C2,1,MS_Year_1,"The central theme of the author's exploration is the need for peace and development in Manipur, and the importance of education as a means of achieving these goals."
0.63893324,6.8715954,2004,MSS46,C2,1,MS_Year_1,"The author is exploring the central theme and subject of the historic day of the handing over of the Kangla Fort complex to the government of Manipur, and the Kangla Fort coming under direct control of the state government for the first time since it was conquered by the British empire in 1891."
0.55831516,6.5301604,2004,MSS47,C2,1,MS_Year_1,The central theme that the author is exploring is the economic potential of the region and the need for investment in physical and human capital to enable Assam to integrate better into the growth process of the country.
4.7445016,8.574753,2004,MSS48,C3,1,MS_Year_1,"The author is exploring the central theme and subject of the india asean car rally, and how it is a demonstration of the essential oneness of the integrated region."
2.1209526,8.129238,2004,MSS49,C2,1,MS_Year_1,The central theme of the author is exploring is the potential of the North East region of India and the need for a free and vibrant media to help realize this potential.
1.0977099,10.251466,2004,MSS50,C0,1,MS_Year_1,"The author is exploring the life and legacy of Walchand Hirachand, a pioneer in industrialization in India."
2.7039323,7.9546485,2004,MSS51,C2,1,MS_Year_1,The author is exploring the central theme of the need for public and private partnership to preserve and sustain heritage monuments.
4.743924,8.637525,2004,MSS52,C3,1,MS_Year_1,The central theme of the text is the potential for cooperation and integration in the region to promote development and collective security.
4.1492515,6.838901,2004,MSS53,C3,1,MS_Year_1,"The central theme that the author is exploring is the deep bond between India and Russia, and the subject is the impact that Jawaharlal Nehru had on the relationship between the two countries."
3.1769829,9.627236,2004,MSS54,C1,1,MS_Year_1,The central theme that the author is exploring is the need for economic reform in order to sustain growth and create new employment opportunities.
2.0686352,9.630923,2004,MSS55,C1,1,MS_Year_1,The author is exploring the importance of energy conservation and the need for a rational pricing policy to encourage it.
0.68396705,8.826642,2004,MSS56,C0,1,MS_Year_1,The author is exploring the central theme and subject of democracy and its importance in today's society.
1.9740242,6.256612,2004,MSS58,C2,1,MS_Year_1,The author is exploring the central theme of the need for world-class public transport and urban infrastructure in India in order to make the country more livable for its citizens.
0.11441864,6.8338428,2004,MSS59,C2,1,MS_Year_1,"The central theme of the text is the devastation caused by the earthquake and tsunami in the Andaman Sea, and the consequent loss of life and damage to property and infrastructure."
0.8552974,9.105316,2004,MSS60,C0,1,MS_Year_1,The central theme of the text is the appeal for donations to the Prime Minister's National Relief Fund to help those affected by the tsunami in India.
2.955304,8.950863,2005,MSS61,C1,2,MS_Year_2,"The author is exploring the need for a greater integration of science and society, and for fostering scientific temper among people, in order to deal with the challenges faced by the nation."
0.23562083,9.164176,2005,MSS62,C0,2,MS_Year_2,The author is exploring the role of the media in combating the HIV/AIDS pandemic.
3.4891849,7.613259,2005,MSS63,C3,2,MS_Year_2,"The central theme of the author is the idea of India and its diaspora, and the subject is the Pravasi Bharatiya Diva conference."
0.52146083,7.800012,2005,MSS64,C0,2,MS_Year_2,"The author is exploring the role of the press in India, and how it has helped to shape the country and its people."
2.4331698,8.713053,2005,MSS65,C1,2,MS_Year_2,"The author is exploring the idea that India should be more actively engaged in the world economy, and that this will benefit both India and the world."
2.0182834,8.478442,2005,MSS66,C1,2,MS_Year_2,The author is exploring the role of the media in India's development process and how it can help alter the mindset of the people to achieve the objective of economic and political reform.
2.7671409,10.062842,2005,MSS67,C1,2,MS_Year_2,The author is exploring the role of technology in the modern hydrocarbon sector and the need for efficient and equitable utilization of hydrocarbon resources.
0.9139691,9.2916,2005,MSS68,C0,2,MS_Year_2,The central theme and subject that the author is exploring is the role of the chief executive in the success of an organization.
2.8672104,9.215398,2005,MSS69,C1,2,MS_Year_2,"The central theme that the author is exploring is the importance of the new Centre for West Asian Studies at Jamia Millia Islamia University in Delhi, India."
1.666594,8.510185,2005,MSS70,C2,2,MS_Year_2,"The author is exploring the commitment of an institution to knowledge and social welfare, and how this can help empower people and enable them to lead better lives."
2.6293504,9.043051,2005,MSS71,C1,2,MS_Year_2,"The central theme of the text is the role that Infosys plays in the development of India. The author discusses the company's history, its impact on the economy, and its potential to continue to grow and create wealth in the country."
1.888891,8.324131,2005,MSS72,C2,2,MS_Year_2,"The central theme that the author is exploring is the legacy of traditional Indian medical knowledge, and the importance of preserving and promoting this knowledge for the benefit of all."
2.3458505,6.4619007,2005,MSS73,C2,2,MS_Year_2,The author is exploring the central theme and subject of the new power project in Kerala and the potential benefits it could bring to the state and its people.
2.517535,6.4254827,2005,MSS74,C2,2,MS_Year_2,"The author is exploring the potential of the port of Cochin in Kerala, India as an economic development tool."
1.4789917,8.814017,2005,MSS75,C0,2,MS_Year_2,The central theme that the author is exploring is the importance of universal elementary education in modern society.
1.933171,8.72959,2005,MSS76,C1,2,MS_Year_2,The central theme of the text is globalization and its effect on India's economy and foreign policy.
0.34482822,8.105657,2005,MSS77,C0,2,MS_Year_2,"The central theme that the author is exploring is the life and legacy of Krishan Kant, a distinguished national leader and freedom fighter from India."
-0.45738158,9.293419,2005,MSS78,C0,2,MS_Year_2,The central theme of the text is legal literacy and the author is exploring how it can empower citizens and foster an open society.
1.8885186,9.677107,2005,MSS79,C1,2,MS_Year_2,The central theme of the author is exploring is the challenge of food and nutritional security in a globalized market.
0.28497866,9.787206,2005,MSS81,C0,2,MS_Year_2,The author is exploring the central theme and subject of the government's commitment to provide a cohesive and purposeful government.
1.119271,9.043042,2005,MSS83,C0,2,MS_Year_2,The central theme of the text is the Indian government's response to the United States government's decision to deny a visa to Narendra Modi.
1.5970315,10.087684,2005,MSS84,C1,2,MS_Year_2,The central theme that the author is exploring is the potential for economic growth in India. The subject that the author is exploring is the role that the Punjab and Haryana Chamber of Commerce and Industry can play in catalyzing this growth.
0.27630836,9.713754,2005,MSS85,C0,2,MS_Year_2,The author is exploring the idea that the standards of debate in the parliament have been declining and that this is due in part to the decline in the quality of parliamentarians.
0.55993867,10.141704,2005,MSS86,C0,2,MS_Year_2,The author is exploring the role that the media plays in shaping public policy and the importance of a strong media in a democracy.
4.7130284,7.826521,2005,MSS87,C3,2,MS_Year_2,"The central theme that the author is exploring is the strong bond between Mauritius and India, and how the two countries can work together to deepen their economic and cultural ties."
4.6378546,7.8782167,2005,MSS88,C3,2,MS_Year_2,The author is exploring the central theme of the importance of managing diversity and pluralism in order to create a successful and prosperous society.
4.518619,8.015392,2005,MSS89,C3,2,MS_Year_2,The author is exploring the central theme of the strategic partnership between the two countries and the subject of the successful realization of the cyber tower project.
4.472981,7.913794,2005,MSS90,C3,2,MS_Year_2,"The central theme of the author is exploring is the relationship between India and Mauritius, and how they are connected through their shared heritage and culture."
1.2239305,9.542564,2005,MSS91,C0,2,MS_Year_2,The central theme that the author is exploring is the electrification of rural India.
2.177611,10.984382,2005,MSS92,C1,2,MS_Year_2,"The central theme of the text is planning for economic development, and the subject that the author is exploring is the role of the Planning Commission in shaping policy."
1.3615266,7.5119114,2005,MSS93,C2,2,MS_Year_2,"The central theme that the author is exploring is the 75th anniversary of the Dandi March, and the subject is the commemorative stamp release in honor of the event."
3.7724133,8.428134,2005,MSS95,C3,2,MS_Year_2,"The central theme that the author is exploring is the historic Srinagar-Muzzafarabad bus service, and the subject is the prime minister's address at the rally."
2.5617938,9.531634,2005,MSS96,C1,2,MS_Year_2,"The central theme of the text is the need for affordable healthcare for all, and the author is exploring ways to make this a reality."
1.5205723,9.196196,2005,MSS97,C1,2,MS_Year_2,The author is exploring the central theme of the importance of preserving the natural habitat and wildlife of Kaziranga National Park.
2.4319842,10.147945,2005,MSS98,C1,2,MS_Year_2,"The author is exploring the life and work of the economist Lal Jayawardena, and his contributions to the field of economics."
1.8194215,9.904346,2005,MSS99,C1,2,MS_Year_2,The central theme of the author is exploring is the importance of the agricultural sector in the Indian economy and the need for government investment in the sector.
4.208478,6.933359,2005,MSS100,C3,2,MS_Year_2,The central theme and subject that the author is exploring is the cultural and historical relationship between India and China.
-0.83200645,7.2836013,2005,MSS101,C0,2,MS_Year_2,"The central theme of the text is the dedication and professionalism of the Special Protection Group, and the subject is the 20th anniversary of the establishment of the group."
2.632529,9.523725,2005,MSS102,C1,2,MS_Year_2,"The central theme of the text is the launch of the National Rural Health Mission, and the subject is the improvement of healthcare in rural India."
1.7007118,9.525946,2005,MSS103,C1,2,MS_Year_2,The central theme that the author is exploring is the potential for economic and social development in the Northeast region of India.
2.7425356,9.516625,2005,MSS105,C1,2,MS_Year_2,The author is exploring the role of the government in investing in education and health care.
1.3064005,7.4701133,2005,MSS106,C2,2,MS_Year_2,The central theme that the author is exploring is the legacy of Mahatma Gandhi.
-0.07395959,7.819332,2005,MSS107,C0,2,MS_Year_2,"The central theme of the text is that democracy is the best way to handle internal security issues, and that violence should not be used to achieve political goals."
0.7603598,7.381292,2005,MSS108,C2,2,MS_Year_2,The central theme that the author is exploring is the potential for peace and prosperity in South Asia.
0.32800034,8.870019,2005,MSS109,C0,2,MS_Year_2,The central theme of the author is that the civil service is an important part of the government and that it is important for the civil servant to be aware of the changing world and to be able to adapt to change.
5.1702094,6.621767,2005,MSS110,C3,2,MS_Year_2,"The central theme of the text is the improvement of relations between India and Pakistan, as well as the potential for further cooperation between the two countries."
3.7947283,8.944157,2005,MSS111,C3,2,MS_Year_2,The central theme of the text is globalization and its effects on the world. The author is exploring how globalization has changed the world and how it has affected the countries of Asia and Africa.
3.8809288,7.097035,2005,MSS112,C3,2,MS_Year_2,"The central theme that the author is exploring is the relationship between India and Japan, and the potential for cooperation between the two countries."
1.1744236,9.189098,2005,MSS113,C0,2,MS_Year_2,"The central theme that the author is exploring is the role of the media in democracy, and the subject is the importance of the free press."
1.8673822,9.68459,2005,MSS114,C1,2,MS_Year_2,The central theme of the text is the importance of preserving and rejuvenating rural water bodies.
1.5846567,9.816793,2005,MSS115,C1,2,MS_Year_2,The central theme and subject that the author is exploring is the importance of good governance and effective delivery of development programmes at the grassroots level in order to ensure that the benefits of development reach every corner of the country.
2.8093967,8.568044,2005,MSS116,C1,2,MS_Year_2,The author is exploring the central theme and subject of the need for technical education in India in order to propel the country forward in the field of industrial development.
1.6018865,7.991052,2005,MSS117,C2,2,MS_Year_2,"The central theme that the author is exploring is the importance of trade unionism in India, and the subject is the life and work of Narayan Meghaji Lokhande."
0.8645843,7.948234,2005,MSS118,C2,2,MS_Year_2,The central theme that the author is exploring is the life and legacy of Lal Bahadur Shastri.
3.9688897,6.987123,2005,MSS119,C3,2,MS_Year_2,"The central theme that the author is exploring is the importance of the relationship between India and Russia, and the sacrifice that both countries have made for each other."
0.5141591,8.885778,2005,MSS120,C0,2,MS_Year_2,The central theme that the author is exploring is the importance of the election commission as a constitutional body in India's democracy.
-0.22533329,9.634171,2005,MSS121,C0,2,MS_Year_2,The central theme of the text is government expenditure and the need for efficient and effective institutions to manage it.
4.155922,6.9060826,2005,MSS122,C3,2,MS_Year_2,"The central theme of the text is the conduct of foreign policy by the Indian government, and the subject is the relations between India and other countries."
0.095316246,9.931079,2005,MSS123,C0,2,MS_Year_2,The author is exploring the central theme of the need for the opposition to return to parliament and resume normal tenor parliamentary work in accordance with the aspiration of the people they represent.
0.14974117,9.946052,2005,MSS124,C0,2,MS_Year_2,"The author is exploring the central theme and subject of the mixed feelings of the end of another session of the House, the sense of achievement and respect for the enormous amount of business able to be transact, as well as the sense of loss occasioned by the manner in which the proceedings of the House were disrupted and boycotted, and the worryingly manner in which aspersions were cast on the high office of the Hon'ble Speaker at the end of the last session, expressing sadness"
1.5196003,7.5043826,2005,MSS125,C2,2,MS_Year_2,"The author is exploring the life and work of Swami Ranganathananda, one of the greatest spiritual teachers of our time."
1.5680821,9.523705,2005,MSS126,C1,2,MS_Year_2,The central theme that the author is exploring is the idea of a new deal for rural India. The subject that the author is exploring is the idea of a new deal for rural India.
3.083745,6.6996117,2005,MSS127,C2,2,MS_Year_2,"The author is exploring the importance of science and technology in India, and the need for the country to stay ahead of the curve in terms of research and development."
0.42425793,8.858893,2005,MSS128,C0,2,MS_Year_2,"The central theme of the text is the evolving role of the district collector in India, and the subject is the need for reform in the country's governance."
0.77928495,9.412883,2005,MSS129,C0,2,MS_Year_2,The author is exploring the central theme and subject of the government's performance over the past year and how it has been able to make a difference in the mood of the country.
2.2568345,10.312815,2005,MSS132,C1,2,MS_Year_2,The author is exploring the need for the State Bank of India to play a lead role in the country's financial system in order to promote growth and development.
3.1238234,6.420446,2005,MSS133,C2,2,MS_Year_2,"The central theme of the text is the importance of nuclear energy in national development, and the subject is the achievements of the Bharatiya Atomic Research Centre (BARC)."
1.9377149,7.7547126,2005,MSS134,C2,2,MS_Year_2,"The author is exploring the central theme of the importance of modern infrastructure in Leh, and the subject of the naming of the airport after a revered leader."
2.2034886,7.40117,2005,MSS135,C2,2,MS_Year_2,The central theme that the author is exploring is the development of the Ladakh region.
1.9336388,6.8316727,2005,MSS136,C2,2,MS_Year_2,"The central theme of the text is the Chutak Hydel Project, and the subject is the Prime Minister's speech about the project."
1.007007,7.171125,2005,MSS137,C2,2,MS_Year_2,The central theme that the author is exploring is that the prime minister visited the Siachen Base Camp and spoke to the troops in Hindi. The subject of the author's exploration is the prime minister's visit to the Siachen Base Camp.
1.4009751,8.778378,2005,MSS138,C0,2,MS_Year_2,"The author is exploring the role of the governor in ensuring that the process of development is allowed to take place unhindered, and that the vision of a rising India is realized."
1.9443498,10.879901,2005,MSS139,C1,2,MS_Year_2,The central theme of the text is the importance of infrastructure development in India.
1.5314848,9.606467,2005,MSS140,C1,2,MS_Year_2,The central theme and subject that the author is exploring is economic development and how to achieve it.
0.84858495,9.372579,2005,MSS141,C0,2,MS_Year_2,The central theme of the author is exploring is the need for good governance in order to achieve the desired objectives of the country.
3.9564989,8.152026,2005,MSS142,C3,2,MS_Year_2,"The central theme that the author is exploring is the deep friendship and bond between Singapore and India, and how this relationship has grown and evolved over time."
2.5034544,6.4526367,2005,MSS143,C2,2,MS_Year_2,The author is exploring the idea of the Setusamudram Ship Channel Project and its potential to benefit the people of Tamil Nadu and the surrounding region.
1.8251327,7.1593113,2005,MSS144,C2,2,MS_Year_2,The central theme and subject that the author is exploring is the Indo-British relationship and how it has evolved over time.
3.4805837,9.580879,2005,MSS145,C1,2,MS_Year_2,The central theme of the text is the need for global cooperation to address the issue of climate change and its impact on the people of the world.
3.771631,7.5106597,2005,MSS146,C3,2,MS_Year_2,The central theme that the author is exploring is the Indo-British partnership and how it has evolved over time.
3.5718222,8.234366,2005,MSS147,C3,2,MS_Year_2,The central theme that the author is exploring is the relationship between India and the United States of America.
3.664514,8.370732,2005,MSS148,C3,2,MS_Year_2,"The central theme and subject that the author is exploring is the partnership between India and the United States, and how it can be beneficial for both countries."
4.3185277,7.69669,2005,MSS149,C3,2,MS_Year_2,The author is exploring the central theme of the Indo-US partnership and how it can be beneficial for both countries.
4.9587355,7.586756,2005,MSS150,C3,2,MS_Year_2,The central theme of the text is the forging of a stronger India-US partnership. The author is exploring the potential for this partnership to secure confidence and support from India for efforts to strengthen and consolidate bilateral ties.
3.8913057,8.218866,2005,MSS151,C3,2,MS_Year_2,The central theme and subject that the author is exploring is the Indo-US relationship and how it can be beneficial for both countries.
2.209328,9.588149,2005,MSS152,C1,2,MS_Year_2,The central theme of the author is exploring is how to effectively stabilize population growth in India through a three-pronged approach.
3.5087123,6.2302575,2005,MSS153,C3,2,MS_Year_2,The author is exploring the central theme of the recent visit of President Bush to India and the potential outcomes of the visit.
0.67466956,8.341881,2005,MSS154,C0,2,MS_Year_2,"The central theme of the text is that democracy is strengthened by a free and varied press, and that a plurality of voices is necessary for a healthy democracy. The subject of the text is the launching of a new publication by the author."
1.0328655,8.8986225,2005,MSS155,C0,2,MS_Year_2,The central theme that the author is exploring is the idea that the study of economics can help to improve the world.
1.282821,9.531437,2005,MSS156,C0,2,MS_Year_2,The central theme of the text is the need for India to invest in knowledge and education in order to compete on the global stage in the 21st century.
1.3264169,7.351296,2005,MSS157,C2,2,MS_Year_2,The author is exploring the theme of communal harmony and the subject of secularism.
3.5100384,6.2229424,2005,MSS158,C3,2,MS_Year_2,"The central theme of the author is exploring is that the foreign policy of India is designed to promote enlightened national interest, and that the orientation of this policy has changed course over time to reflect the country's strong civilizational influence."
3.4778419,6.1956663,2005,MSS159,C3,2,MS_Year_2,The central theme that the author is exploring is the success of the recent visit to the United States by the Indian delegation led by the Prime Minister.
1.0096741,8.15426,2005,MSS160,C0,2,MS_Year_2,"The author is exploring the life and work of Bhiku Ram Jain, a freedom fighter and prominent leader in India."
2.4114676,6.8033223,2005,MSS161,C2,2,MS_Year_2,The central theme and subject that the author is exploring is energy security.
1.2484014,7.8625913,2005,MSS162,C2,2,MS_Year_2,"The author is exploring the life and achievements of Om Prakash Jindal, a son of India who was an extraordinary person with many accomplishments in spite of adversity."
1.6093098,9.108734,2005,MSS163,C1,2,MS_Year_2,"The central theme of the text is the debate surrounding the need for a Prime Minister's Office in India, and the subject is the Nanavati Commission report on the assassination of Mahatma Gandhi."
2.1928089,9.101652,2005,MSS164,C1,2,MS_Year_2,The author is exploring the theme of the prime minister's intervention in the Rajya Sabha debate on the adjournment motion on the Nanavati Commission report and the subject of the content managed prime minister's office website designed and hosted by the National Informatics Centre.
0.5671722,7.260072,2005,MSS165,C2,2,MS_Year_2,The author is exploring the central theme of Independence Day and the subject of economic growth in India.
1.8187441,8.504866,2005,MSS166,C1,2,MS_Year_2,"The central theme of the text is the life and work of Dr. K. R. Narayanan, and the subject is the Sadbhavana Award."
2.2543797,9.065312,2005,MSS167,C1,2,MS_Year_2,The central theme of the text is the importance of energy security for the development of India. The subject of the text is the initiatives taken by the government to promote renewable energy.
0.6022608,8.404677,2005,MSS168,C0,2,MS_Year_2,"The author is exploring the role of the media in a democracy, and how it can help to empower citizens and create a more informed society."
0.38101223,8.459354,2005,MSS169,C0,2,MS_Year_2,The central theme of the author is exploring is the empowerment of women and the role they play in the process of nation building.
-0.08542777,9.605295,2005,MSS170,C0,2,MS_Year_2,The central theme and subject that the author is exploring is the need for government intervention in order to ensure that the economy grows and that social justice is achieved.
1.1816233,9.082167,2005,MSS171,C0,2,MS_Year_2,"The central theme of the author's exploration is the relationship between democracy and development, and the subject is the role of the Commonwealth in promoting democracy and development."
3.3455863,8.022995,2005,MSS172,C3,2,MS_Year_2,"The author is exploring the central theme of the close relationship between India and Afghanistan, and the subject of the Habibia school."
3.1063116,8.135006,2005,MSS173,C3,2,MS_Year_2,The central theme and subject that the author is exploring is the strengthening of relations between India and Afghanistan.
3.9854372,7.9662633,2005,MSS174,C3,2,MS_Year_2,"The central theme that the author is exploring is the historic brotherly bond between the people of India and Afghanistan, and the shared history and culture between the two nations."
0.5837997,8.934817,2005,MSS175,C0,2,MS_Year_2,The author is exploring the central theme and subject of democracy and how it is being practiced in Afghanistan.
0.09950463,9.6638975,2005,MSS176,C0,2,MS_Year_2,The central theme of the author is exploring is the success of the democracy in India.
0.69759506,8.576936,2005,MSS177,C0,2,MS_Year_2,The central theme that the author is exploring is the need for communal harmony in order to ensure the survival of a civilised society.
0.3922337,7.9876175,2005,MSS178,C0,2,MS_Year_2,The central theme that the author is exploring is the importance of national integration in India.
-0.2962892,7.7538843,2005,MSS179,C0,2,MS_Year_2,The central theme that the author is exploring is the need for a modern and efficient police force in India that is responsive to the needs of the people.
0.8135343,9.491918,2005,MSS180,C0,2,MS_Year_2,The central theme of the text is the role that the Life Insurance Corporation of India (LIC) has played in the development of the modern Indian economy. The subject of the text is the history of the LIC and its impact on the Indian economy.
2.1605937,8.381807,2005,MSS182,C2,2,MS_Year_2,"The author is exploring the central theme of the need for a national institute for the study and practice of the Siddha system of medicine, and the subject of the great pride that the Tamil people have in their heritage and culture."
1.4163061,8.218344,2005,MSS183,C2,2,MS_Year_2,"The author is exploring the idea of India as a pluralistic and inclusive country, and how this is exemplified by Kerala."
1.4072409,7.6562414,2005,MSS184,C2,2,MS_Year_2,"The central theme that the author is exploring is the life and work of Vinoba Bhave, and the subject is his impact on society."
0.993936,7.517547,2005,MSS185,C2,2,MS_Year_2,"The central theme that the author is exploring is the idea that the time has come for the idea of equality, justice, and fraternity to truly take hold, and that Vaiko's book is a powerful contribution to this idea."
5.7087107,7.5247426,2005,MSS186,C3,2,MS_Year_2,The central theme that the author is exploring is the potential for increased economic cooperation between India and the European Union.
5.3029785,7.270918,2005,MSS187,C3,2,MS_Year_2,"The central theme of the text is the India-EU Strategic Partnership, and the subject is the joint action plan adopted at the 6th India-EU Summit."
5.3932643,7.4101176,2005,MSS188,C3,2,MS_Year_2,"The central theme that the author is exploring is the strategic partnership between India and the UK, and the potential for cooperation in areas such as trade, investment, and science and technology."
2.2298582,10.207588,2005,MSS189,C1,2,MS_Year_2,The central theme of the text is the need for a revitalized cooperative credit system in order to improve the agricultural economy.
1.1362282,9.008895,2005,MSS190,C0,2,MS_Year_2,"The author is exploring the central theme of the strategic partnership between France and India, and the subject of the meeting between the two leaders."
1.8075488,8.117041,2005,MSS191,C2,2,MS_Year_2,"The central theme of the text is democracy, and the author is exploring the idea that democracy is a powerful tool that can be used to overcome developmental challenges."
3.5358653,9.550183,2005,MSS192,C1,2,MS_Year_2,"The author is exploring the idea that the world is one community, and that the United Nations should be reformed to reflect this."
